s1  {pr2=4, pr5=3, pr3=2, pr4=1}
s2  {pr4=4, pr8=3, pr1=2, pr3=1}
s3  {pr8=4, pr3=3, pr9=2, pr4=1}
s4  {pr7=4, pr3=3, pr5=2, pr10=1}
s5  {pr8=4, pr10=3, pr3=2, pr6=1}
s6  {pr8=4, pr9=3, pr3=2, pr7=1}
s7  {pr10=4, pr6=3, pr4=2, pr8=1}
s8  {pr9=4, pr3=3, pr6=2, pr8=1}
s9  {pr2=4, pr4=3, pr6=2, pr8=1}
s10  {pr10=4, pr1=3, pr5=2, pr7=1}
s11  {pr9=4, pr3=3, pr5=2, pr8=1}
s12  {pr9=4, pr2=3, pr6=2, pr1=1}
s13  {pr7=4, pr4=3, pr8=2, pr3=1}
s14  {pr9=4, pr2=3, pr4=2, pr5=1}
s15  {pr6=4, pr8=3, pr3=2, pr2=1}
s16  {pr9=4, pr4=3, pr8=2, pr6=1}
s17  {pr9=4, pr10=3, pr2=2, pr8=1}
s18  {pr3=4, pr8=3, pr9=2, pr5=1}
s19  {pr8=4, pr2=3, pr9=2, pr7=1}
s20  {pr7=4, pr4=3, pr10=2, pr8=1}
